timestamp,x,y,z
1489817540.96,-7.47,-2.38,5.92
1489817540.97,-7.58,-2.35,5.99
1489817540.99,-7.55,-2.34,5.94
1489817541.0,-7.52,-2.33,5.98
1489817541.02,-7.44,-2.35,5.84
1489817541.03,-7.39,-2.34,5.78
1489817541.05,-7.33,-2.35,5.75
1489817541.06,-7.37,-2.38,5.75
1489817541.08,-7.45,-2.36,5.78
1489817541.09,-7.47,-2.32,5.78
1489817541.11,-7.43,-2.33,5.9
1489817541.12,-7.54,-2.34,5.91
