timestamp,x,y,z
1489874777.85,-708.0,-43.0,735.0
1489874777.85,-703.0,-43.0,736.0
1489874777.85,-701.0,-44.0,732.0
1489874777.85,-701.0,-45.0,731.0
1489874777.85,-701.0,-44.0,731.0
1489874777.85,-698.0,-45.0,733.0
1489874777.85,-701.0,-43.0,729.0
1489874777.85,-698.0,-54.0,729.0
1489874777.85,-701.0,-50.0,728.0
1489874777.85,-698.0,-50.0,723.0
1489874777.86,-700.0,-49.0,724.0
1489874777.86,-699.0,-48.0,724.0
1489874777.86,-701.0,-47.0,725.0
1489874777.86,-698.0,-46.0,727.0
1489874777.86,-696.0,-49.0,727.0
1489874777.86,-701.0,-47.0,727.0
1489874777.86,-699.0,-44.0,730.0
1489874777.86,-699.0,-44.0,732.0
1489874777.86,-697.0,-47.0,728.0
1489874777.86,-698.0,-44.0,731.0
1489874777.86,-702.0,-47.0,728.0
1489874777.86,-702.0,-50.0,727.0
1489874777.86,-704.0,-44.0,726.0
1489874777.86,-704.0,-44.0,727.0
1489874777.86,-709.0,-42.0,731.0
1489874777.86,-710.0,-39.0,731.0
1489874777.86,-707.0,-41.0,737.0
1489874777.86,-704.0,-45.0,738.0
1489874777.86,-701.0,-46.0,741.0
1489874777.86,-697.0,-45.0,737.0
1489874777.86,-701.0,-48.0,732.0
1489874777.86,-699.0,-46.0,735.0
1489874777.86,-697.0,-49.0,730.0
1489874777.86,-698.0,-48.0,731.0
1489874777.86,-702.0,-47.0,735.0
1489874777.86,-700.0,-51.0,728.0
1489874777.86,-702.0,-48.0,732.0
1489874777.86,-704.0,-43.0,732.0
1489874777.86,-704.0,-43.0,731.0
1489874777.86,-702.0,-43.0,734.0
1489874777.86,-703.0,-47.0,731.0
1489874777.86,-700.0,-46.0,728.0
1489874777.86,-700.0,-46.0,727.0
1489874777.86,-700.0,-43.0,726.0
1489874777.86,-696.0,-41.0,733.0
1489874777.86,-701.0,-44.0,727.0
1489874777.86,-701.0,-45.0,732.0
1489874777.86,-699.0,-43.0,726.0
1489874777.86,-704.0,-47.0,728.0
1489874777.86,-699.0,-43.0,730.0
1489874777.86,-699.0,-44.0,731.0
1489874777.86,-703.0,-43.0,726.0
1489874777.86,-703.0,-45.0,731.0
1489874777.86,-702.0,-42.0,729.0
1489874777.86,-705.0,-40.0,732.0
1489874777.86,-705.0,-43.0,734.0
1489874777.86,-708.0,-45.0,735.0
1489874777.86,-705.0,-41.0,738.0
1489874777.87,-704.0,-43.0,737.0
1489874777.87,-705.0,-40.0,735.0
1489874777.87,-702.0,-43.0,736.0
1489874777.87,-705.0,-48.0,736.0
1489874777.87,-705.0,-44.0,734.0
1489874777.87,-702.0,-43.0,729.0
1489874777.87,-701.0,-45.0,733.0
1489874777.87,-703.0,-42.0,738.0
1489874777.87,-702.0,-49.0,735.0
1489874777.87,-703.0,-44.0,732.0
1489874777.87,-703.0,-48.0,735.0
1489874777.87,-702.0,-45.0,728.0
1489874777.87,-702.0,-44.0,730.0
1489874777.87,-702.0,-44.0,730.0
1489874777.87,-700.0,-45.0,731.0
1489874777.87,-701.0,-48.0,734.0
1489874777.87,-698.0,-48.0,728.0
1489874777.87,-701.0,-44.0,734.0
1489874777.87,-697.0,-47.0,736.0
1489874777.87,-698.0,-49.0,730.0
1489874777.87,-698.0,-44.0,727.0
1489874777.87,-698.0,-45.0,733.0
1489874777.87,-698.0,-43.0,732.0
1489874777.87,-697.0,-42.0,727.0
1489874777.87,-698.0,-44.0,731.0
1489874777.87,-699.0,-45.0,732.0
1489874777.87,-700.0,-47.0,726.0
1489874777.87,-701.0,-45.0,732.0
